team name,team payroll,wpct,year
Los Angeles Dodgers,"285,508,333",0.685,2022
New York Mets,"255,919,999",0.623,2022
New York Yankees,"240,290,714",0.611,2022
Philadelphia Phillies,"221,738,462",0.537,2022
San Diego Padres,"202,172,618",0.549,2022
Boston Red Sox,"201,616,000",0.481,2022
Chicago White Sox,"190,760,734",0.5,2022
Los Angeles Angels,"187,613,094",0.451,2022
Atlanta Braves,"175,335,000",0.623,2022
Houston Astros,"171,639,599",0.654,2022
Toronto Blue Jays,"164,470,905",0.568,2022
St. Louis Cardinals,"150,746,666",0.574,2022
San Francisco Giants,"142,292,500",0.5,2022
Chicago Cubs,"141,810,000",0.457,2022
Colorado Rockies,"137,852,166",0.42,2022
Texas Rangers,"134,961,333",0.42,2022
Minnesota Twins,"130,984,524",0.481,2022
Detroit Tigers,"128,640,000",0.407,2022
Milwaukee Brewers,"128,581,128",0.531,2022
Washington Nationals,"114,623,095",0.34,2022
Cincinnati Reds,"113,580,000",0.383,2022
Seattle Mariners,"92,745,714",0.556,2022
Kansas City Royals,"84,610,000",0.401,2022
Miami Marlins,"79,500,000",0.426,2022
Arizona Diamondbacks,"77,393,333",0.457,2022
Tampa Bay Rays,"75,347,813",0.531,2022
Cleveland Guardians,"57,710,000",0.568,2022
Baltimore Orioles,"41,421,166",0.512,2022
Pittsburgh Pirates,"38,575,000",0.383,2022
Oakland Athletics,"32,548,334",0.37,2022
Los Angeles Dodgers,"241,372,403",0.654,2021
New York Yankees,"201,074,956",0.568,2021
New York Mets,"186,001,814",0.475,2021
Los Angeles Angels,"180,609,676",0.475,2021
Washington Nationals,"179,557,685",0.401,2021
Boston Red Sox,"179,540,260",0.568,2021
Houston Astros,"176,495,417",0.586,2021
San Diego Padres,"175,713,986",0.488,2021
Philadelphia Phillies,"174,808,832",0.506,2021
St. Louis Cardinals,"164,972,833",0.556,2021
Chicago Cubs,"156,481,585",0.438,2021
San Francisco Giants,"149,937,613",0.66,2021
Toronto Blue Jays,"139,646,569",0.562,2021
Atlanta Braves,"132,458,375",0.547,2021
Chicago White Sox,"127,148,334",0.574,2021
Minnesota Twins,"125,153,166",0.451,2021
Cincinnati Reds,"123,575,488",0.512,2021
Colorado Rockies,"110,309,500",0.46,2021
Texas Rangers,"97,796,971",0.37,2021
Arizona Diamondbacks,"94,394,792",0.321,2021
Milwaukee Brewers,"93,818,038",0.586,2021
Kansas City Royals,"89,496,700",0.457,2021
Seattle Mariners,"83,603,100",0.556,2021
Oakland Athletics,"82,983,674",0.531,2021
Detroit Tigers,"80,866,200",0.475,2021
Tampa Bay Rays,"66,820,709",0.617,2021
Miami Marlins,"57,481,750",0.414,2021
Baltimore Orioles,"56,158,500",0.321,2021
Cleveland Guardians,"51,269,100",0.494,2021
Pittsburgh Pirates,"45,599,000",0.377,2021
New York Yankees,"214,291,339",0.55,2020
Houston Astros,"212,321,933",0.483,2020
Los Angeles Dodgers,"189,065,000",0.717,2020
Chicago Cubs,"188,959,500",0.567,2020
Los Angeles Angels,"176,329,344",0.433,2020
St. Louis Cardinals,"160,781,766",0.517,2020
Washington Nationals,"159,242,411",0.433,2020
Philadelphia Phillies,"152,877,962",0.467,2020
Atlanta Braves,"149,466,875",0.583,2020
San Francisco Giants,"144,994,027",0.483,2020
Cincinnati Reds,"143,143,673",0.517,2020
New York Mets,"142,288,337",0.433,2020
San Diego Padres,"140,317,600",0.617,2020
Texas Rangers,"137,834,500",0.367,2020
Colorado Rockies,"136,399,833",0.433,2020
Minnesota Twins,"127,610,333",0.6,2020
Chicago White Sox,"120,898,499",0.583,2020
Boston Red Sox,"120,361,000",0.4,2020
Milwaukee Brewers,"97,535,926",0.483,2020
Detroit Tigers,"96,832,300",0.397,2020
Oakland Athletics,"94,318,433",0.6,2020
Toronto Blue Jays,"92,582,371",0.533,2020
Cleveland Guardians,"89,004,234",0.583,2020
Arizona Diamondbacks,"86,471,066",0.417,2020
Kansas City Royals,"83,278,225",0.433,2020
